Thuật toán,Level,Thời gian (s),Bộ nhớ (MB)
Backtrack,1,32.206,78.152
Backtrack,2,65.324,82.445
Backtrack,3,98.212,96.734
Backtrack,4,130.909,108.805
Backtrack,5,163.31,121.496
Backtrack,6,195.976,131.031
BFS,1,31.359,69.055
BFS,2,63.469,69.074
BFS,3,95.532,69.074
BFS,4,127.807,69.16
BFS,5,159.968,69.191
BFS,6,192.06,69.191
BFS,1,31.5,65.719
BFS,2,63.858,65.684
BFS,3,96.261,65.707
BFS,4,128.596,65.688
BFS,5,161.042,65.688
BFS,6,193.587,65.688
DFS,1,30.667,64.867
DFS,2,62.963,64.836
DFS,3,95.252,64.855
DFS,4,127.682,64.836
DFS,5,160.113,64.844
DFS,6,192.48,64.855
A*,1,31.284,65.176
A*,2,64.41,65.164
A*,3,97.043,65.309
A*,4,130.302,65.309
A*,5,163.082,65.316
A*,6,195.633,65.332
Greedy,1,31.034,64.828
Greedy,2,63.549,64.875
Greedy,3,95.993,64.887
Greedy,4,129.351,64.891
Greedy,5,161.787,64.898
Greedy,6,194.384,64.898
HillClimb,1,30.717,64.988
HillClimb,2,63.175,64.961
HillClimb,3,95.665,64.938
HillClimb,4,128.328,64.941
HillClimb,5,160.84,64.941
HillClimb,6,193.566,64.941
BeamSearch,1,30.661,134.715
BeamSearch,2,63.602,134.695
BeamSearch,3,95.909,134.746
BeamSearch,4,128.193,134.73
BeamSearch,5,160.502,134.812
BeamSearch,6,192.872,134.812
BeamSearch,1,30.669,65.195
BeamSearch,2,62.96,65.211
BeamSearch,3,95.277,65.328
BeamSearch,4,127.592,65.348
BeamSearch,5,159.885,65.348
BeamSearch,6,193.478,65.395
ForwardChk,1,31.058,72.02
ForwardChk,2,64.251,79.344
Backtrack,1,31.015,72.328
ForwardChk,1,31.153,72.223
ForwardChk,2,64.655,85.105
ForwardChk,3,97.934,93.832
ForwardChk,4,130.996,99.492
ForwardChk,5,164.006,106.293
ForwardChk,6,197.203,115.082
BFS,1,31.601,64.879
BFS,2,64.074,64.898
BFS,3,96.415,64.918
BFS,4,129.377,64.922
DFS,1,30.719,64.918
DFS,2,63.22,64.945
DFS,3,95.586,64.945
DFS,4,127.931,65.027
A*,1,30.774,65.125
Greedy,1,30.58,65.141
HillClimb,1,30.525,65.152
HillClimb,1,30.714,65.23
BeamSearch,1,30.536,65.195
BeamSearch,2,62.827,65.207
Backtrack,1,30.965,73.703
Backtrack,2,63.64,81.941
Backtrack,3,97.143,92.781
DFS,1,30.803,65.02
DFS,2,63.308,65.129
A*,1,30.935,65.316
A*,2,63.704,65.332
Greedy,1,30.823,65.32
Greedy,2,63.459,65.344
HillClimb,1,30.615,65.461
BeamSearch,1,30.753,65.5
ForwardChk,1,31.152,73.977
MuTP,1,217.157,65.129
Backtrack,1,30.897,71.805
ForwardChk,1,31.017,74.43
