Thuật toán,Level,Thời gian (s),Bộ nhớ (MB)
BFS,1,3.138,68.551
BFS,1,3.241,68.551
BFS,1,3.345,68.562
BFS,1,3.449,68.562
BFS,1,3.553,68.562
BFS,1,3.657,68.562
BFS,1,3.761,68.562
BFS,1,3.865,68.562
BFS,1,3.968,68.566
BFS,2,46.956,132.414
BFS,2,47.059,132.414
BFS,2,47.162,132.414
BFS,2,47.265,132.414
BFS,2,47.368,132.414
BFS,2,47.472,132.414
Greedy,6,32.144,68.801
BFS,6,31.886,133.531
DFS,1,33.549,132.039
DFS,2,33.701,132.043
DFS,3,33.853,132.043
DFS,4,34.005,132.043
DFS,5,34.157,132.043
DFS,6,34.308,132.043
BFS,1,31.321,131.996
BFS,2,31.472,132.0
BFS,3,31.624,132.0
BFS,4,31.776,132.0
BFS,5,31.928,132.0
BFS,6,32.08,132.0
A*,1,31.052,68.543
A*,2,31.204,68.586
A*,3,31.356,68.586
A*,4,31.508,68.586
A*,5,31.662,68.586
A*,6,31.814,68.586
HillClimb,1,16.425,68.406
HillClimb,1,16.527,68.426
HillClimb,1,16.629,68.445
HillClimb,1,16.732,68.445
HillClimb,1,16.834,68.445
HillClimb,1,16.937,68.445
HillClimb,1,17.039,68.445
HillClimb,1,17.141,68.445
HillClimb,1,17.243,68.445
HillClimb,1,17.345,68.445
HillClimb,1,17.448,68.445
HillClimb,1,17.55,68.445
HillClimb,1,17.652,68.445
HillClimb,1,17.755,68.445
HillClimb,1,17.858,68.445
HillClimb,1,17.96,68.449
HillClimb,1,30.459,132.121
HillClimb,2,30.611,132.121
HillClimb,3,30.762,132.121
HillClimb,4,30.914,132.121
HillClimb,5,31.065,132.121
HillClimb,6,31.216,132.121
Backtrack,1,178.447,72.555
Backtrack,1,178.55,72.574
Backtrack,1,178.652,72.594
Backtrack,1,178.753,72.594
Backtrack,1,178.855,72.594
Backtrack,1,178.958,72.598
Greedy,1,30.943,70.594
Greedy,2,31.096,70.633
Greedy,3,31.247,70.633
Greedy,4,31.399,70.633
Greedy,5,31.55,70.633
Greedy,6,31.703,70.633
BeamSearch,1,1.928,132.445
BeamSearch,1,2.032,132.445
BeamSearch,1,2.136,132.453
BeamSearch,1,2.24,132.453
BeamSearch,1,2.344,132.453
BeamSearch,1,2.448,132.453
BeamSearch,1,2.552,132.453
BeamSearch,1,2.656,132.453
BeamSearch,1,3.387,132.484
BeamSearch,1,3.491,132.484
BeamSearch,1,3.594,132.484
BeamSearch,1,3.698,132.484
BeamSearch,1,3.802,132.484
BeamSearch,1,3.906,132.484
BeamSearch,1,4.01,132.484
BeamSearch,1,4.114,132.484
MuTP,1,8.823,68.695
MuTP,1,8.927,68.715
MuTP,1,9.031,68.734
MuTP,1,9.134,68.734
MuTP,1,9.239,68.734
MuTP,1,9.342,68.734
MuTP,1,9.446,68.734
MuTP,1,9.551,68.734
MuTP,1,9.655,68.734
MuTP,1,9.759,68.734
MuTP,1,9.862,68.734
MuTP,1,9.967,68.734
MuTP,1,10.071,68.734
MuTP,1,10.174,68.734
MuTP,1,10.279,68.734
MuTP,1,10.382,68.734
MuTP,1,10.487,68.734
MuTP,1,10.591,68.734
MuTP,1,10.694,68.734
MuTP,1,10.799,68.734
MuTP,1,10.902,68.734
MuTP,1,11.007,68.738
MuTP,1,10.769,132.426
MuTP,1,10.773,132.426
MuTP,1,10.877,132.441
MuTP,1,10.981,132.465
MuTP,1,11.085,132.465
MuTP,1,11.189,132.465
MuTP,1,11.293,132.465
MuTP,1,11.397,132.465
Backtrack,1,74.688,71.457
Backtrack,1,74.792,71.477
Backtrack,1,74.894,71.496
Backtrack,1,74.998,71.496
Backtrack,1,75.101,71.496
Backtrack,1,75.204,71.496
Backtrack,1,75.307,71.496
Backtrack,1,75.411,71.496
Backtrack,1,75.515,71.496
Backtrack,1,75.618,71.496
Backtrack,1,75.721,71.496
Backtrack,1,75.826,71.5
BFS,1,11.867,69.91
BFS,1,11.97,69.914
BFS,1,12.073,69.926
BFS,1,12.176,69.926
BFS,1,12.279,69.926
BFS,1,12.382,69.926
BFS,1,12.485,69.926
BFS,1,12.588,69.926
BFS,1,12.691,69.926
BFS,1,12.794,69.926
BFS,1,12.897,69.926
BFS,1,13.0,69.926
BFS,1,13.103,69.926
BFS,1,13.206,69.926
BFS,1,13.309,69.926
BFS,1,13.412,69.926
BFS,1,13.515,69.926
BFS,1,13.618,69.926
BFS,1,13.721,69.926
BFS,1,13.824,69.926
BFS,1,13.927,69.926
BFS,1,15.333,69.938
BFS,1,15.436,69.938
BFS,1,15.539,69.938
BFS,1,15.642,69.938
BFS,1,15.745,69.938
BFS,1,15.848,69.938
BFS,1,16.56,69.938
BFS,1,16.663,69.938
BFS,1,16.766,69.938
BFS,1,16.869,69.938
BFS,1,16.972,69.938
BFS,1,17.075,69.938
BFS,1,17.178,69.938
BFS,1,17.996,69.969
BFS,1,18.099,69.969
BFS,1,18.202,69.969
BFS,1,18.305,69.969
BFS,1,18.408,69.969
BFS,1,18.511,69.969
BFS,1,18.614,69.969
BFS,1,19.55,69.973
BFS,1,19.654,69.973
BFS,1,19.757,69.973
BFS,1,19.86,69.973
BFS,1,19.963,69.973
BFS,1,20.066,69.973
BFS,1,20.169,69.973
BFS,1,20.272,69.973
BFS,1,20.375,69.973
BFS,1,21.086,69.973
BFS,1,21.189,69.973
BFS,1,21.292,69.973
BFS,1,21.395,69.973
BFS,1,21.498,69.973
BFS,1,21.602,69.973
BFS,1,21.705,69.973
BFS,1,21.808,69.973
BFS,1,21.911,69.973
BFS,1,22.014,69.973
BFS,1,22.118,69.973
BFS,1,22.221,69.973
BFS,1,22.324,69.973
BFS,1,22.428,69.973
BFS,1,22.531,69.973
BFS,1,22.634,69.973
BFS,1,22.737,69.973
BFS,1,22.84,69.973
BFS,1,22.943,69.973
BFS,1,23.046,69.973
BFS,1,23.149,69.973
BFS,1,23.252,69.973
BFS,1,23.355,69.973
BFS,1,23.457,69.973
BFS,1,23.56,69.973
BFS,1,23.663,69.973
BFS,1,23.766,69.973
BFS,1,23.869,69.973
BFS,1,23.972,69.973
BFS,1,24.075,69.973
BFS,1,24.178,69.973
BFS,1,24.281,69.973
BFS,1,24.384,69.973
BFS,1,24.487,69.973
BFS,1,24.59,69.973
BFS,1,24.693,69.973
BFS,1,24.796,69.973
BFS,1,24.899,69.992
BFS,1,25.002,69.992
BFS,1,25.105,69.992
BFS,1,25.207,69.992
BFS,1,25.31,69.992
BFS,1,25.413,69.992
BFS,1,25.516,69.992
BFS,1,25.619,69.992
BFS,1,25.722,69.992
BFS,1,25.825,69.992
BFS,1,25.928,69.992
BFS,1,26.031,69.992
BFS,1,26.134,69.992
BFS,1,26.237,69.992
BFS,1,26.34,69.992
BFS,1,26.443,69.992
BFS,1,26.546,69.992
BFS,1,26.649,69.992
BFS,1,26.752,69.992
BFS,1,26.855,69.992
BFS,1,26.958,69.992
BFS,1,27.061,69.992
BFS,1,27.164,69.992
BFS,1,27.267,69.992
BFS,1,27.371,69.992
BFS,1,27.474,69.992
BFS,1,27.577,69.992
BFS,1,27.68,69.992
BFS,1,27.783,69.992
BFS,1,27.886,69.992
BFS,1,27.989,69.992
BFS,1,28.092,69.992
BFS,1,28.195,69.992
BFS,1,28.298,69.992
BFS,1,28.4,69.992
BFS,1,30.017,69.992
BFS,1,30.12,69.992
BFS,1,30.223,69.992
BFS,1,30.326,69.992
BFS,1,30.429,69.992
BFS,1,30.532,69.992
BFS,1,30.635,69.992
BFS,1,30.738,69.992
BFS,1,31.448,69.992
BFS,1,31.551,69.992
BFS,1,31.654,69.992
BFS,1,31.757,69.992
BFS,1,31.859,69.992
BFS,1,31.962,69.992
BFS,1,32.065,69.992
BFS,1,32.168,69.992
BFS,1,32.271,69.992
BFS,1,33.865,69.996
BFS,1,33.968,69.996
BFS,1,34.07,69.996
BFS,1,34.172,69.996
BFS,1,34.275,69.996
BFS,1,34.378,69.996
BFS,1,34.481,69.996
BFS,1,34.584,69.996
BFS,1,34.687,69.996
BFS,1,34.789,69.996
BFS,1,34.892,69.996
BFS,1,34.995,69.996
BFS,1,35.097,69.996
BFS,1,35.201,69.996
BFS,1,35.304,69.996
BFS,1,35.407,69.996
BFS,1,35.51,69.996
BFS,1,35.612,69.996
BFS,1,35.714,69.996
BFS,1,36.506,70.016
BFS,1,36.608,70.016
BFS,1,36.711,70.016
BFS,1,36.813,70.016
BFS,1,36.916,70.016
BFS,1,37.019,70.016
BFS,1,38.508,70.02
BFS,1,38.611,70.02
BFS,1,38.713,70.02
BFS,1,38.815,70.02
BFS,1,38.918,70.02
BFS,1,39.02,70.02
BFS,1,39.122,70.02
BFS,1,40.081,70.02
BFS,1,40.183,70.02
BFS,1,40.286,70.02
BFS,1,40.388,70.02
BFS,1,40.49,70.02
BFS,1,41.209,70.02
BFS,1,41.311,70.02
BFS,1,41.413,70.02
BFS,1,41.515,70.02
BFS,1,41.617,70.02
BFS,1,41.719,70.02
BFS,1,41.821,70.02
BFS,1,41.923,70.02
BFS,1,42.025,70.02
BFS,1,42.128,70.02
BFS,1,42.229,70.02
BFS,1,42.331,70.02
BFS,1,42.433,70.02
BFS,1,42.536,70.02
BFS,1,42.638,70.02
BFS,1,42.74,70.02
BFS,1,42.842,70.02
BFS,1,43.608,70.02
BFS,1,43.71,70.02
BFS,1,43.812,70.02
BFS,1,43.914,70.02
BFS,1,44.666,70.02
BFS,1,44.768,70.02
BFS,1,44.87,70.02
BFS,1,44.972,70.02
BFS,1,45.074,70.02
BFS,1,45.176,70.02
BFS,1,46.061,70.02
BFS,1,46.163,70.02
BFS,1,46.265,70.02
BFS,1,46.367,70.02
BFS,1,46.469,70.02
BFS,1,47.29,70.02
BFS,1,47.392,70.02
BFS,1,47.494,70.02
BFS,1,47.596,70.02
BFS,1,47.698,70.02
BFS,1,47.8,70.02
BFS,1,47.902,70.02
BFS,1,48.004,70.02
BFS,1,48.106,70.02
BFS,1,48.963,70.02
BFS,1,49.065,70.02
BFS,1,49.167,70.02
BFS,1,49.269,70.02
BFS,1,49.371,70.02
BFS,1,49.473,70.02
BFS,1,50.867,70.059
BFS,1,50.969,70.059
BFS,1,51.071,70.059
BFS,1,51.173,70.059
BFS,1,51.275,70.059
BFS,1,52.02,70.062
BFS,1,52.122,70.062
BFS,1,52.224,70.062
BFS,1,52.326,70.062
BFS,1,52.428,70.062
BFS,1,52.53,70.062
BFS,1,52.632,70.062
BFS,1,52.734,70.062
BFS,1,61.591,70.027
BFS,2,61.744,70.055
BFS,3,61.897,70.055
BFS,4,62.048,70.055
BFS,5,62.2,70.055
